InstanceType,Asia Pacific (Malaysia) - ap-southeast-5,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,US East (N. Virginia) - us-east-1,Asia Pacific (Tokyo) - ap-northeast-1
r7i.xlarge,20265.0,9924.0,9908.0,9357.0,20762.0
t3.2xlarge,86391.0,7961.0,11595.0,7157.0,11722.0
t3.large,3423.0,3525.0,1769.0,1547.0,3577.0
t3.medium,2720.0,2772.0,2782.0,895.0,1021.0
t3.micro,357.0,370.0,2149.0,2121.0,2153.0
t3.nano,178.0,185.0,186.0,172.0,188.0
t3.small,714.0,739.0,744.0,689.0,752.0
t3.xlarge,3776.0,3980.0,43441.0,42998.0,16699.0
t4g.2xlarge,-,-,-,-,-
t4g.large,-,-,-,-,-
t4g.medium,-,-,-,-,-
t4g.micro,-,-,-,-,-
t4g.nano,-,-,-,-,-
t4g.small,-,-,-,-,-
t4g.xlarge,-,-,-,-,-
x2idn.16xlarge,343055.0,779039.0,176744.0,757018.0,176744.0
x2idn.24xlarge,514582.0,525225.0,1168559.0,189447.0,525225.0
x2idn.32xlarge,339297.0,700299.0,296639.0,252596.0,1558079.0
x2idn.metal,282448.0,296639.0,1558079.0,252596.0,141902.0
x2iedn.16xlarge,406911.0,247695.0,141902.0,97859.0,247695.0
x2iedn.24xlarge,350257.0,631651.0,1274986.0,146788.0,212853.0
x2iedn.2xlarge,50864.0,52638.0,17738.0,100743.0,52638.0
x2iedn.32xlarge,410160.0,438541.0,495390.0,407303.0,495390.0
x2iedn.4xlarge,101728.0,212498.0,212498.0,24465.0,61924.0
x2iedn.8xlarge,116752.0,109635.0,210550.0,87614.0,210550.0
x2iedn.metal,1671600.0,1699981.0,1699981.0,407303.0,1699981.0
x2iedn.xlarge,52238.0,8869.0,53124.0,10952.0,53124.0
